4,20
func,ksfailure,1.8309461601433215
grad,thick01,3.458137911392477e-06
grad,thick02,1.1881922117615553e-07
grad,thick03,-3.672658912446551e-07
grad,thick04,-7.679346997337072e-06
grad,thick05,-6.438303215301752e-05
grad,thick06,0.000826633845607294
grad,thick07,0.033843744529844
grad,thick08,0.38861286262194
grad,thick09,0.23082737334918646
grad,thick10,-41.495113688906855
grad,thick11,0.5714662058608542
grad,thick12,-2.9966063879830307e-06
grad,thick13,-3.4898498126676465e-06
grad,thick14,-1.0339203166908985e-06
grad,thick15,6.420186632810331e-05
grad,thick16,0.0003278637161426882
grad,thick17,-0.008676451941200782
grad,thick18,-0.22856364853589617
grad,thick19,-1.0303348027018142
grad,thick20,38.525828869884656
func,cl,0.22716681728103055
grad,thick01,9.0025979067425e-12
grad,thick02,0.00015953148275278252
grad,thick03,0.00012169743980486108
grad,thick04,0.00011241889572330933
grad,thick05,0.00019052545134705287
grad,thick06,0.00014524122215644607
grad,thick07,0.0002699145993978251
grad,thick08,0.0001959652166908308
grad,thick09,0.00011403380731844297
grad,thick10,5.746188883840936e-05
grad,thick11,0.00015957865245635054
grad,thick12,-0.004855795952017903
grad,thick13,-0.003985610036278368
grad,thick14,-0.003017153058081569
grad,thick15,-0.0017996885706146794
grad,thick16,-0.0024845161111055384
grad,thick17,-0.0007538417219293278
grad,thick18,-0.0011949001758229363
grad,thick19,-0.0008745894552694211
grad,thick20,-0.0002807522689414707
func,cd,0.08272919946326128
grad,thick01,3.6531220694687225e-12
grad,thick02,7.644892829915536e-05
grad,thick03,1.5968913205741617e-05
grad,thick04,1.1231449146268915e-05
grad,thick05,-2.100090391327932e-06
grad,thick06,1.4388895472086176e-05
grad,thick07,5.244745255260274e-05
grad,thick08,-2.499738075646156e-06
grad,thick09,3.974690587194214e-06
grad,thick10,-4.83312422595745e-07
grad,thick11,0.00017176865043214612
grad,thick12,-0.0014260590229965109
grad,thick13,-0.0010903277598604297
grad,thick14,-0.0007883838671818252
grad,thick15,-0.0004445197340715993
grad,thick16,-0.0006430987411879703
grad,thick17,-0.0002036990962621416
grad,thick18,-0.0003104382699220283
grad,thick19,-0.0002114215596514718
grad,thick20,-6.998088087823012e-05
func,mass,334.8079011711104
grad,thick01,259.4020250977247
grad,thick02,259.40202509772473
grad,thick03,259.40202509772473
grad,thick04,259.4020250977247
grad,thick05,259.4020250977246
grad,thick06,259.4020250977247
grad,thick07,259.40202509772473
grad,thick08,259.4020250977247
grad,thick09,259.4020250977247
grad,thick10,259.40202509772473
grad,thick11,2450.9450317855994
grad,thick12,3159.5360927056336
grad,thick13,3159.536092705066
grad,thick14,3159.536092705632
grad,thick15,3159.536092705065
grad,thick16,3159.5360927056317
grad,thick17,3159.5360927050656
grad,thick18,3159.536092705632
grad,thick19,3159.536092705066
grad,thick20,3159.53609270563
