2,24
func,ksfailure,0.08452238361850978
grad,thick1,-0.0009129379961727537
grad,thick2,-0.0028136256141190557
grad,thick3,-0.0021338364893350287
grad,thick4,-0.0014265929587247428
grad,thick5,-0.0009241523006761519
grad,thick6,-0.0005431705851206051
grad,thick7,-0.0038488681568991266
grad,thick8,-0.003331036734362818
grad,thick9,-0.0022811422409624318
grad,thick10,-0.001280050005513489
grad,thick11,-0.0006065726540399243
grad,thick12,-0.00026340135886182954
grad,thick13,0.0007918760960624162
grad,thick14,-0.003332349338390125
grad,thick15,1.0357701271232418e-05
grad,thick16,-0.0005647335426176333
grad,thick17,-0.00021413150673904068
grad,thick18,-4.7697983096453434e-05
grad,thick19,-4.80150075284724e-05
grad,thick20,-6.302075368326219e-05
grad,thick21,-5.735600610532329e-05
grad,thick22,-5.333806723637659e-05
grad,thick23,-0.0010059956187043761
grad,thick24,-0.0012728366471674434
func,mass,133.9446784899235
grad,thick1,10718.815326333153
grad,thick2,8783.844587626152
grad,thick3,8020.032013662016
grad,thick4,7256.219442340175
grad,thick5,6492.406867689078
grad,thick6,5728.59429669231
grad,thick7,9813.80776642746
grad,thick8,9028.703145709955
grad,thick9,8243.598523939692
grad,thick10,7458.493901820009
grad,thick11,6673.389278839395
grad,thick12,5888.284658842546
grad,thick13,10311.469733958647
grad,thick14,9547.657153638946
grad,thick15,2268.4127179577595
grad,thick16,1955.9272834702933
grad,thick17,1666.588951708687
grad,thick18,1400.3976588576209
grad,thick19,1157.3534387727086
grad,thick20,937.4562744683515
grad,thick21,740.7061903464798
grad,thick22,567.1031794958018
grad,thick23,5012.835872618772
grad,thick24,4272.580224707409
